t|b
日内瓦 有 工作|日内瓦 绘画 工作室 , 寻找 一 名 绘画 助手 ( 女性 优先 ) , 主要 从事 简单 的 绘画 处理 , 无 需 绘画 基础 . 有 意者 来电 : 0763801622 联系 人 : 邱 老师
餐馆 招人 ！！ ！|" 中餐馆 招 男 服务生
要求 ： 会 说法语 。
有 一定 工作 经验 。
有意者 请 打电话 联系 —— 0794024084
( 具体 电话 里 聊 ... ） "
招 厨房 二 厨 和 帮厨 .|中餐 在 洛桑 招 二 厨 和 帮厨 各 一 名 . 条件 是 要 有 有效 居留 . 有 工作 经验 者 请电 0765850629. 待遇 面议 . 无证 免 扰 . 谢谢 ！！ ！！ ！！！ ！
洛桑 中餐 厨房|洛桑 中餐 招 厨房 一 名 , 請电 02 13 127989
洛桑 郊区 中餐 招 服务生 ， 厨房 各 一 名|" 餐馆 位于 洛桑郊区 ，
招 服务生 一 名 ， 女 ， 有 一定 法语 基础
招 帮 厨 一 名 ， 男 ，
12 月 上班
详情 请 电话 0794 203647 早上 11 点 至 网上 11 点 有人 接 "
日内瓦 中餐馆 招 服务生 一 名|" 如 题 ， 替 友 发帖 。
日内瓦 plainpalais 地区 ， 招 计时 服务生 一 名 ， 工作 时间 是 晚上 7 点 到 10 点 。 要求 会 法语 ， 有 合法 证件 （ 学生 证件 也 行 ） ， 热情 有 责任心 。 工作 时间 从 2011 年 开始 。
老板 一 家 都 很 好 ， 如 有 感 兴趣 的 请 尽快 站 内 回复 ， 谢谢 。 "
诚聘 楼面 一 名 （ sion ）|" 本 帖 最后 由 guojian0424 于 2010-11-81 4:23 编辑
本店 急需 一 名 楼面 。 。 要求 会 基本 法语 有 学生 B-PERMIT 。 。 FULL TIME..
联系 电话 0795313865 郭 先生 。 。 "
洛桑 自助 餐厅 招收 实习 生 .|" 本 帖 最后 由 lam 于 2010-12-1615:10 编辑
餐厅 位于 市中心 .1 月 中 开业 . 招聘 N 名 实习生 . 男女 不 限 . 或 有 居留 的 学生 也 可以 . 有 兴趣 的 发 邮件 34887 3168@ qq.com 或 电话 0765850629. 林 ."
洛桑 餐厅 招聘|" 洛桑市 中心 日本 餐厅 招聘 服务员 ， 若干 名
电话 0765830617
takaaki@ live.cn "
想 找 工作 的 进来|本 店 需要 帮厨 或 大厨 , 楼面 会 流利 法语 , 有意 联系 0324264203
招聘 楼面 需要 有 证|需要 有 证 酒店 实习 学生 联系 电话 0793886688
找个 带 小孩 的|找 个 带 小孩 的 ， 包 吃 住 。 工资 面议 。
洛桑 新 开 餐厅 招收 楼面 数 名|" 洛桑 新 开 餐厅 招收 楼面 数 名
有 证 有 经验 者 优先 联系 电话 0765 152550 施 女士 "
二月份 开始 找 Service 实习 的 学生 。|" 本 帖 最后 由 computer 于 2010-12-1723:11 编辑
在 德语区 ， 二月份 开始 找 实习 的 学生 。
有意 的 请 发 简历 到 info@asiagarden.ch "
中餐 招 服务生|" 餐馆 位于 洛桑 郊区 ， 现 招 服务生 一 名 ， 女 ， 有 一定 法语 基础 ， 包 吃 不 包住 ， 可 即刻 上班
电话 078300 1986 "
日内瓦 公务 翻译 1 名|+41 ( 0 ) 767722297 Isa
想 找 实习 的 人 进来 看看|" 我 现在 在 印度 餐厅 实习 ， 老板 人 不错 ， 叫 我 帮 他 问 一下 有 没有 人 愿意 在 1 月份 中旬 开始 实习 ， 时间 一共 是 6 个 月 。 。 月工资 1160 ， 包 吃 包住 ， 吃 的 还 可以 ， 住 的 也 不 是 很 差 。 总之 我 还 蛮 满意 的 。 如果 有人 愿意 的话 ， 回 个 话 ， 我 和 老板 说 一下 。
地点 ， Nyon , Glond , 还有 montreux ， 目前 他 有 三 家 餐厅
我 在 NYON ， NYON 最 好 "
中餐馆 招 一 名 女服务员 ( Luzern )|" 本 帖 最后 由 ccr 于 2010-12-2523:03 编辑
此 招聘 以 结束 谢谢 大家 的 关注 ！
tel : 076-3199788
QQ : 1120670303
地址 ： huaptgasse 46 ch-6130 willisau
www.changcheng-willisau.ch "
急 找 周末 工|本 店 急需 周末 工 , 有意者 打 0324264203
找 楼面|瓦莱州 地区 招 楼面 （ 女 ） 一 名 ， 不 要求 语言 和 工作 经验 ， 可 随时 开工 。 有意者 0765085508 联系
诚聘 女 实习生|" 本 店 位于 Vaud 州 一个 著名 滑雪场 , 需要 一 名 酒店 管理 的 女 实习生 , 12 月份 开工 , 包 吃 包住 , 待遇 从 优 , 有 外国 同事 一起 工作 , 可以 锻炼 法语 , 还有 外 餐 服务 技巧 , 有意者 电话 联系 .
联系 电话 0764338898 "
( 招聘 ) Terminal Pre-sales Engineer in Bern|" 本 帖 最后 由 ismiyake 于 2010-11-2317:46 编辑
Company : The fortune 500 companies
Office location : Bern
Job title : Pre-Sales EngineerDay to day Responsibilities ： 1 ) Terminal product testing : execute terminal product testing with customer support.2 ) Requirements collection and communication : correctly gather and transfer the requirements between customers and headquarter.3) Bug tracing : Trace and report the bugs to R&D center.Clarify the solution with R&D engineers and customers.4 ) Customer relationship : Establish and keep good relationship and cooperation with technical engineer of customers.5 ) Project management : responsible for purchase order handling , handle customer customization items and helps product manager task.Requirements : 1 ) Computer , Telecommunication , Electric engineering , or with other IT academic background.2 ) Basic knowledge of software testing and development.3 ) Teamwork : Ability of good communication and coordination.4 ) Language skills : fluent English , speak basic German and Chinese is preferred.5 ) The person should have a strong sense of responsibility and take the serious and meticulous attitude during working.If you are interested in applying for this job , please send your CV to : stanley.shih@huawei.com"
品 香源 餐馆|" 本 帖 最后 由 连 伟 源于 2010-11-2710:07 编辑
本 餐馆 位于 interlaken 需要 楼面 工 一 名 （ B 证 ） 有意者 请 来电 076 3218188 或 weiyuan_sh@ hotmail.com 联系 "
酒馆 实习生|本 店 招 酒 管 实习生 , 包 吃 住 , 有 工作 经验 者 优先 .0 324264203
帮忙 带 小孩|帮 朋友 发 帖子 , 找 人 帮忙 带 小孩 0324264203
|
z ü rich 收 厨师 和 帮厨 一 名|z ü rich 飞机场 中餐馆 要 厨师 和 帮厨 一 名 帮厨 12 月 开工 厨师 面谈 电话 0788004236
洛桑 中餐馆 招工|" 餐馆 位于 洛桑 郊区 ， 从 sallaz 乘 一 部 车 可 到 ， 现 招聘
服务生 一 名 ， 女 ， 有 一定 法语 基础 ， 包 吃 不 包住
帮厨 一 名 ， 男 ， 有 1 年 以上 经验 ， 包 吃 不 包住
以上 人员 12 月 1 日 开始 上班 ， 住 sallaz 附近 的 优先
电话 : 0794 203647 早上 10 点 到 12 点 ， 下午 2 点 到 6 点 ， 晚上 10 点 之后 有人 接 "
招聘 擅长 乐器 演奏者|" 餐馆 诚聘 擅长 乐器 演奏者 , 乐器 种类 不 限 , 适合 节日 在 餐厅 演奏 即 可 .
要求 乐器 自备 , 男女 不 限 , 可 包 食宿 . 工资 和 其他 条件 面议 .
有意者 , 请 致电 , 0 324264203
谢谢 大家 合作 ."
餐馆 招聘 周末 工 , 节日 工|" 本 帖 最后 由 XIAOHEZI 于 2010-11-1119:26 编辑
餐馆 诚聘 周末 工 , 节日 工 , 要求 会 基本 法语 , 最好 有 工作 经验 , 男女 不限 , 包 吃 住 ， 工资 待遇 面议 .
有意者 请 致电 , 0 324264203"
|
找 大厨|苏黎世 找 大厨 一 名 经验 丰富 的 来 电话 0448814633
苏黎世 中餐 招人|" 本 帖 最后 由 silver12 于 2010-10-3013:40 编辑
就 在 ZURICH HB 旁边
招 1-2 人 明年 开工 男女 都 可
具体 情况 请 打电话 0442 128544 ( 周 一 到 周六 9 点 -20 点 ， 周日 休息 无 人 接听 ) "
发帖 在 洛桑 找个 大厨|" 本 帖 最后 由 lam 于 2010-11-511:00 编辑
找个 大厨 要 有 多年 经验 . 要 有 证件 . 最 好 会 做 川菜 . 待遇 面谈 . 有 意者 请电 0765850629.
无 证 免 扰 . 谢谢 . 留言 的 时候 留 个 电话 我 会 尽快 复 你 .(s 2143a ) 顺便 在 为 1 月份 招聘 2 名 服务 生 . 要 有 证件 的 . 谢谢 . 学生 也 可以 ."
招聘 SIHH 日内瓦 钟表 展 女 司仪 一 位|" 本 帖 最后 由 konica12031203 于 2010-11-80 1:11 编辑 招聘 SIHH 日内瓦 钟表 展 女 司仪 一 位
时间 : 2010 年 1 月 17 日 一整天 （ 早 八点 至 晚 6 ， 7 点 左右 ， 超时 另 算 ）
薪酬 : 一 天 约 税前 300 CHF 。
地点 : 日内瓦 PALEXPO
要求 :
精通 法语 ， 中文 和 基本 的 英文
身高 在 158 到 164 之间 ， 体重 不 超过 55KG ， （ 最 好 穿 得 下 36 码 的 鞋 ）
若 有 做 过 展览会 的 经验 最 好 。
有意者 请 附上 你 的 法语 CV ， 电话 号码 到 : lingjia_gu@ hotmail.com 或 在 此 留言 给 我 ， 谢谢 。 "
洛桑 餐厅 招人|" 洛桑市 中心 日本 料理 店
招聘 12 月份 前后 可以 上班 的 服务员 一 名 ， 需要 有 证件 ， 年龄 35 岁 以下 非 诚 勿 扰
请 寄 简历 到 takaaki@ live.cn 或者 电话 联系 0765830617 "
lausanne 中餐厅 招 服务生|" 本 帖 最后 由 visclou 于 2010-11-2823:36 编辑
这 是 一 家 位于 lausanne 附近 的 中餐厅 ， 现 需 服务生 ， 具体 细节 请 电话 联系 ， 07883 13927 ， 我 姓 马 ， 谢谢 。 "
中餐馆 急 招 一 名 女服务员|" 本 帖 最后 由 ccr 于 2010-11-1922:03 编辑
工资 待遇 以 个人 的 工作 人力 而 定 ， 相关 招聘 信息 如下 ：
1 ： 餐馆 包 吃 住
2 ： 要求 有 基本 的 德语 水平 ， 无 工作 经验 要求 。
3 ： 希望 能 长期性 工作 ， 全职 负责 服务员 工作 。
有 以 者 请 尽快 联系 ：
tel : 076-3199788
QQ : 1120670303
地址 ： huaptgasse 46 ch-6130 willisau
www.changcheng-willisau.ch "
寻 IT 专业 人士|" 如 题 ， 想 找 一个 懂 程式 编辑 ..etc 的 it 高手
有意者 请 站 内 联系 ～ 谢谢 "
诚聘 保姆 一 名|" 苏黎世 招 保姆 一 名 ， 包 吃 住 ， 薪水 面议 ， 要求 要 有 爱心 ， 有带 孩子 经验 的 优先 。
联系 方式 ， 0765877188"
找 楼面 一 名|瓦莱州 地区 找 楼面 （ 女性 ） 一 名 ， 不 要求 工作 经验 和 语言 ， 有意者 站 内 短 信 联系 。
洛桑 中餐 招聘 楼面|" 洛桑新开 中餐 招聘 楼面 有 法语 基础 和 楼面 经验 者 优先 。
联系 电话 0765 152550 施 女士 "
诚聘 女服务员|Vaud 州 中餐 找 楼面 ， 会 基本 法语 ， 有 工作 经验 ， 联系 电话 0764338898
。 。 。|" 本 帖 最后 由 Snak 于 2010-11-517:50 编辑
人 已经 找到 ， 谢谢 大家 "
寻找 楼面 ( sion )|" 本 帖 最后 由 guojian0424 于 2010-11-618:58 编辑
本店 现聘 一楼面 ， 要求 工作 能力 强 ， 善于 沟通 ， 最 好 会 基本 法语
男女 不 限 。 。 。 非诚勿扰 。 ( 本 店 位置 在 SION)
联系 电话 0795313865 郭 先生 "
招聘 楼面 女生|Vaud 州 中餐 找 楼面 ， 会 基本 法语 ， 有 工作 经验 ， 联系 电话 0764338898
急 ！！！ ！ ( 谢谢 蚂蚁 论坛 已经 找到 人 ）|" 本 帖 最后 由 kai 于 2010-11-417:24 编辑
（ ！ ！ ！ "
LUZERN 中餐 招聘 服务生 一 名|" 本 帖 最后 由 ccr 于 2010-11-1103:01 编辑
本 餐馆 需要 一 名 女服务员 会 基本 德语 ， 餐馆 包 吃 住 ， 工资 待遇 按 工作 能力 来 定 。 具体 情况 可以 通过 以下 联系 方式 进行 了解 。
email : changcheng-willisau@ hotmail.com
tel : 076/3199788
QQ : 1120670303"
苏黎世 酒吧 招 实习 女 学生|一月 一 号 到 六月 底 每周 2 天 假 工资 包 吃 不 包住 到手 200 0. 小费 500 左 右 一个 月 . 有 兴趣 的 请 电话 联络 0763021899.
找 看 小孩 的 阿姨|每周二 到 周五 ？
lausanne 中餐厅 招聘 服务生|如 有意 请 来电 ， 07883 13927 ， 谢谢
中餐 館找 有 證樓 面 .|中餐 館找 有 證樓 面 , 有 經驗 , 懂 法文 優先 考慮 , 請留 电話 , 當即 回覆 .
找个 照顾 小孩 的|" 小孩 两 个 月 大 ， 在 LUZERN ,
想 找个 有 经验 的 阿姨 照顾 ， 长期 的 可以 包 吃 住 ， 或者 就 星期五 ， 六 晚上 ，
有意者 请 联系 0786146768 ， 谢谢 。 "
找 照顾 小孩 的 人|" 大家 好 ， 我们 住 在 lausanne , 有 一个 2 岁 的 孩子 ， 现 想 找 个 阿姨 照顾 ， 如 有 兴趣 请 打电话 ，
07883 13927 "
找 照顾 小孩 的 阿姨|" 本 帖 最后 由 visclou 于 2010-10-2015:01 编辑
电话 ， 07883 13927 "
有偿 搬家 （ 苏黎世 ）|" 本 帖 最后 由 newfeifei 于 2010-10-1920:29 编辑
有偿 找人 搬家 ， 从 货车 内 到底 楼 。
时间 10 月 30 号 下午
地点 苏黎世 附近
工资 站 内 或者 电话 联系 （ 0762683755 ） 谢谢 先 ！ "
lausanne 中餐厅 招聘 酒店 管理 实习 学生|" 本 帖 最后 由 visclou 于 2010-10-1815:59 编辑
大家 好 ， 本 餐厅 地 处在 lausanne 附近 , 现 招聘 为期 6 个 月 左右 的 酒店 实习 学生 ， 因为 住宿 原因 ， 只 招聘 女 学生 ， 请 有意者 同 我 电话 联系 ， 电话 是 07883 13927 ， 谢谢 。 "
洛桑 餐厅 招工|" 本 帖 最后 由 Rick 于 2010-11-401:43 编辑
洛桑 餐厅 招收 楼面 和 帮厨
有意者 电联 0763589720 邹 老板 "
求 有 証樓 面|急 找 一 名 有 証樓 面 , 有 工作 經驗 者 更佳 . 有 興趣 者 請留下 电話 , 當馬 上 回覆 . 謝 各位
帮 人 看 孩子 ， 苏黎世|有 人 愿意 帮 人 看孩子 吗 ？ 也 就 是 一个 月 的 时间 ， 而且 也 不 是 每天 ！
招聘 短期 家务 工|" 本 帖 最后 由 jameswu 于 2010-10-1019:10 编辑
地点 ： basel 市中心
工作 内容 ： 一 日 两 餐 （ 中餐 ， 晚餐 ， 一家 三 口 ） 洗碗 及 收拾 家务 ， 含 出 门 买 日用品 及 饭后 收拾 。 不必 住家 ， 时间 相对 灵活
时间 ： 至少 两 个 星期 （ 周 一 到 周五 ）
要求 ： 女孩 （ 因 家 有 小 baby ） ， 善于 做饭菜
无 需 任何 做作 许可 ， 但 要 有 瑞士 合法 居留 证件 。
工资 可 议
从下 周末 开始 ， 有意 请 联系 dreamboydream@hotmail.com ， 必 回 "
找 工作|本 人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 本人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 本人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 本人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 本人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 本人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 本人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 本人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 本人 会 说 点 英语 ， 也 会 做 些 厨房 。 现在 迫切 要求 一 份 厨房 或者 楼面 的 工作 ， 待遇 多少 无所谓 ， 若 各位 兄弟 姐妹 们 有 这 方面 消息 的话 , 敬请 转告 我 , 本人 定 给 酬谢 。 先 拜谢 大家 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM 各位 好 ！ 本人 会 说 点 英语 ， 也 会 做 些 厨房 ， 现在 迫切 想 找 一 份 工作 。 待遇 高低 无所谓 ， 如果 哪 位 兄弟 姐妹 有 这 方面 消息 的话 ， 敬请 告诉 我 。 本人 定 给 酬谢 。 先 拜谢 了 。 邮箱 ： XIEDANIEL1975@HOTMAIL.COM
招聘 保姆|" 招聘 保姆 一 名 在 苏黎世 ， 希望 有 爱心 的 有 喜欢 小朋友 的 ， 我们 提供 包 吃 包住 。 联系 方式
0765156532 "
找 有 多年 经验 的 厨师 一 名|找 有 多年 经验 的 厨师 一 名 ， 有 兴趣 的 留下 电话 号码 。
招聘 厨师|苏黎世 中餐馆 招 厨师 ， 具体 面谈 。 联系 方式 0765877188
|
招 有 经验 的 厨师|日内瓦 找 有 经验 且 有 证 的 厨师 ， 有意者 留下 电话 ， 具体 面谈 。
LAUSANNE , 招聘 中餐 厨师|在 洛桑 哪里 啊 ? 有 时间 去 帮衬 你 ( s2136a)
Lausanne 餐厅 找 厨房|" Lausanne 餐厅 找 厨房
要 有 证
请点 02 13 12798 90792480270 "
招聘 大厨 和 酒店 学生 各 一 名|" 本 店 需要 大厨 一 名 ， 要求 有 丰富 工作 经验 ， 熟练 掌握 各种 包点 心 的 方法 ， 包 吃 住 ， 工资 待遇 面议 。 PS , 名副其实 大厨 ， 非 诚 勿扰 。 多谢 。
另外 ， 本店 需要 一 名 酒店 管理 的 实习生 ， 男女 不限 ， 9 月 开工 。 多谢 。
有 议者 ， 请 致电 本店 。 0 324264203 。 谢谢 合作 。 "
|
找 短期 杂工|" 本 帖 最后 由 visclou 于 2010-9-1110:10 编辑
是 从 9 月 17 日 到 9 月 26 日 找 杂工 ， 工作 地 点在 lausanne ， 在 beaulieu 展览馆 ， 3 号 车 可以 到 ， 主要 做 服务 ， 清洁 等 ， 需要 有 基本 法语 水平 ， 良好 的 身体 状况 ， 最好 有些 餐饮 服务 经验 ， 每天 150 元 ， 需 有 瑞士 居住证 或 学生证 ， 请 和 我 联系 07883 13927 我 姓 马 "
招聘|苏黎世 餐厅 找 实习 学生 ， 或 临时工 。 联系 电话 0763836466
找 11 月份 前后 可以 实习 的 酒店 实习生 3 名|" 本 帖 最后 由 takaaki 于 2010-9-1019:18 编辑 洛桑市 中心 日本 料理 点
招聘 11 月份 前后 可以 实习 的 酒店 实习生 3 名 ， 请 寄 简历 到 takaaki@ live.cn 或者 电话 联系 0765830617 "
已 删除|" 本 帖 最后 由 99548668 于 2010-9-1015:37 编辑
已 删除 "
Luzern 招聘 临时工 （ 学生 ）|" 本 帖 最后 由 ccr 于 2010-9-3015:04 编辑
有 那位 学生 希望 在 周末 找 临时工 的 可以 跟 我们 餐馆 联系 ， 所有 条件 必须 面谈 ！
我们 将 根据 工作 经验 和 个人 能力 有 制定 相关 待遇 ！
有 兴趣 的 同学 可以 联系 ：
email : changcheng-willisau@ hotmail.com
tel : 076/3199788
QQ : 1120670303
地址 : hauptagsse 46
6130 willisau"
招 女 熟手 服务员|" 沃州 中餐 招 熟手 女服务员 一 名 , 法语 流利 , 需 有 丰富 的 工作 经验 , 如 无 以上 必备 条件 者 , 请勿 打电话 .
联系 电话 0244634029 "
招聘 帮厨 ，|卢塞恩 中餐馆 ， 需 一 名 有 证 帮厨 ， ， ， 电话 ， 0788727006 。 。
招 卢塞恩 附近 德语 翻译 一 名 ， 9 月 6 日 下午|" 时间 ： 2010 年 9 月 6 日 14.45 - 16.00 地点 ：
Verkehrshaus der Schweiz
Lidostrasse 5
CH-6006 Luzern 公务 内容 ： 参观 交通 博物馆 中 的 轨道 交通厅 ， 给 考 参团 提供 翻译 。 费用 ： 60 欧元 + 20 欧元 交通 补助 联系 我们 ： Tel+4922125918274 Email info@eutravel4u.com
轨道 交通厅 相关 内容 见 http : //www.verkehrshaus.ch / de/museum/schienenverkehr/"
找 厨艺 高超 的 厨师|" 找 厨艺 高超 的 厨师 一 名 ，
有 兴趣 的 请 联系 iam2155@hotmail.com"
招聘 中餐 厨师|" 你们 好 , 本店 在 LAUSANNE , 需 招聘 一 名 持有 工作证 的 中餐 厨师 , 请 有意者 发 邮件 给
vislcou@ yahoo.com 谢谢 ."
找 一 名 中餐 厨师|" 在 瓦莱 地区 ， 有 家 餐馆 要 寻找 一 名 中国 厨师 ，
有意思 着 请 联系 我 ， ， 站 内 联系 "
短期 厨师 报酬 优厚|" 本 帖 最后 由 visclou 于 2010-8-1206:53 编辑
大家 好 ， 本 中餐 店 位于 LAUSANNE ， 从 9 月 16 日 到 9 月 27 日 将 在 lausanne 商品 展览会 期间 聘 短期 厨师 ， 需 有 工作证 ， 做 10 天 ， 请 感 兴趣 的 朋友 速 同 我 联系 ， visclou@ yahoo.com , 非常 感谢 。 "
急聘 酒吧 营销员 俩 名 , 工资 待遇 优厚|这个 工作 就 具体 了 ..... 不 会 德语 ..
找 女 生工|" 如 题 女孩 出国 才 没 多久 语言 还 未 学 的 流利
出外 花钱 比较 大 希望 能 找 一 份 工作 先
可以 边 学 边 做 女孩 工作 勤快 做事 认真
还 很 年轻 希望 大家 可以 给 多 点 机会
如果 你手 上 有 那么 一 份 女生 的 工作 麻烦 你 留下 你 的 电话
或者 在 回复 里 我 每天 会上 来 看 如果 有的 话 我 会 留下 联系 方式 的 "
删|" 本 帖 最后 由 兽性 也 温柔 于 2010-8-1209:25 编辑
，，，，，， ， "
旅游 公司 招聘 办公室 人员|" 大家 好 ,
由于 业务 发展 , 日内瓦 欧 亚立信 旅游 公司 现 招聘 若干 机票 销售 人员 , 有 兴趣 的 朋友 可以 前往 一 试 哦 !
欧 亚立信 的 电话 : 0227337121
邮件 可以 发 LV@EURASIE.CH "
急聘 公关 小姐 数 名|" 本 酒吧 位于 Basel ， 急聘 公关 小姐 数 名 。
如 有 兴趣 请 站 内 或 E-mail 联系 ： andreayu666@ gmail.com
联系 人 ： Andrea"
|
招聘 厨师|" 本 帖 最后 由 visclou 于 2010-8-22 1:01 编辑
本店 从 9 月 16 日 到 9 月 27 日 为 lausanne comptoi suisse 招聘 短期 厨师 ， 持有 工作证 ， 请 有意者 同 我 联系 ， visclou@ yahoo.com , 谢谢 。 "
餐馆 请人|瓦莱州 一 中国 餐厅 找 位 楼面 男女 不限 会 说 德语 。 条件 面谈 。 。 联系 电话 0763367875
招聘 临时工|9 月 17 到 9 月 26 ， 需 一 人 帮忙 做 LAUSANNE 展览 COMPTOI SUISSE ， 需 有 证 ， 做 过 餐饮 ， 报酬 优厚 ， 有意者 请 发 邮件 ， VISCLOU@YAHOO.COM
日内瓦 求 英语 翻译|" 某 国家 部门 一行 15 人 要 来 日内瓦 培训 2 个 星期 ， ９月 ３－２２日 全 天 英文 授课 ， 需要 两 名 英文 翻译
其间 ， 他们 还要 去 意大利 罗马 和 维也纳 旅游 。
待遇 优厚 ， 详情 面谈 。
有意者 请 联系 sister2us@ yahoo.com"
苏黎世 餐厅 加酒 吧 找 长工 。|苏黎世 餐厅 加酒 吧 在 altstetten 招 长工 一 名 女 ， 要求 会 德语 有 餐厅 或 酒吧 工作 经验 。 月薪 3700 到 手 3100 小费 最 少 600 。 5 个 礼拜 带 薪 大 假 。 休息 时间 固定 每个 礼拜 1 个 全天 2 个 半 天 。 2010 年 一月 底 开工 。 联系 电话 0763021899 胡 先生 。
洛桑餐馆 招 服务员|本 帖 最后 由 takaaki 于 2010-7-2300:28 编辑 洛桑餐馆 招 有 证件 ， 会 基本 法语 的 服务员 2 名 ， 另 找 9 月份 前后 可以 实习 的 酒店 实习生 3 名 ， 请 寄 简历 到 takaaki@ live.cn 或者 电话 联系 0765830617 另外 找 part time service （ 晚上 和 周末 ） 2 名 ， 要求 会 法语
招聘 银行 主管 助手|" 下次 招到 合适 的 请 交 中介费
CIM 记住 了 ， hoho"
苏黎世 中 泰餐 诚聘 厨师 和 楼面|" 本 帖 最后 由 doglove 于 2010-7-1622:37 编辑
找到 了 , 谢谢 "
餐馆 招工|卢塞恩 餐厅 急需 楼面 ， 厨房 。 长工 ， 实习生 都 要 。 请 速 联系 ： 0414409933. 联系 王 先生
招聘 启事 - 保姆|诚聘 一 位 保姆 ， 帮忙 照看 一个 两 岁 半 的 小 男孩 ， 孩子 很 聪明 ， 精力 充沛 。 孩子 每天 上午 8：30 – 12：30 上 幼儿园 ， 希望 保姆 的 工作 时间 为 12：30 – 18：30 。 希望 应聘者 年龄 在 30-50 岁 ， 普通话 流利 ， 最 好 自己 有 小孩子 ， 有 相关 的 工作 经验 ， 最好 是 幼儿 教育 的 经验 。 有 耐心 和 爱心 ， 注重 与 孩子 的 交流 和 沟通 ， 喜欢 讲 故事 做 游戏 等等 ， 愿意 带 孩子 积极 参加 户外 活动 ， 鼓励 其 与 其他 小孩子 的 互动 。 工作 时间 从 九月 初 开始 ， 工资 面议 。 请 有意者 联系 彭 女士 ： + 41789442092 。 谢谢 。
晚 6-9 点 兼 职工|地点 ？ 工种 ？
English Translater in the field of Bank Investment|Wanted If you are very well in English- Chinese Translation ( Oral und Spoken ) in the field of Bank Investment , Please call 0794389517 after 17:00.There is a translation work for 2 days in Z ü rich.You will be well paid.
7 月 13 号 至 16 号 寻 蒙特勒 ， Vevy 附近 留学生 有偿 帮助|有 个 朋友 在 此 期间 在 蒙特勒 停留 ， 每天 上午 她 都 有 安排 了 ， 下午 没什么 事 ， 本来 打算 自己 带 她 周边 到处 走走 的 。 但是 不凑巧 ， 公司 请 不 到 假 ， 所以 想到 问问 附近 是否 有 留学生 愿意 帮忙 有偿 带 一下 。 我 朋友 是 个 40 多 岁 的 女 的 ， 人 很 好 的 。 有 意向 的 请 短 信 我 ， 谢谢 ！
洛桑 中餐馆 招 服务生|餐馆 位于 洛桑 郊区 ， 招 服务生 ， 女 ， 有 一定 法语 基础 ， 8 月份 上班 ， CHF1800 , 包 吃 不 包住 。 电话 ： 021-7843421
